tarefa,modelo,sentenca_id,posicao,token,tag_gold,tag_predita
upos,regras,test-s47,13,R,NOUN,PROPN
upos,regras,test-s48,18,Melcher,PROPN,VERB
upos,regras,test-s49,2,primeira,NOUN,ADJ
upos,regras,test-s49,5,errou,VERB,NOUN
upos,regras,test-s50,1,como,CCONJ,ADP
upos,regras,test-s50,9,Palavra,PROPN,NOUN
upos,regras,test-s50,12,cruz,NOUN,PROPN
upos,regras,test-s50,14,que,CCONJ,PRON
upos,regras,test-s50,15,nós,NOUN,PRON
upos,regras,test-s50,16,adotemos,VERB,NOUN
upos,regras,test-s50,19,a,ADP,DET
upos,regras,test-s50,21,vigiarmos,VERB,NOUN
upos,regras,test-s50,23,políticos,NOUN,ADJ
upos,regras,test-s50,25,partidos,VERB,NOUN
upos,regras,test-s50,31,argumenta,VERB,NOUN
upos,regras,test-s51,1,julho,PROPN,NOUN
upos,regras,test-s51,2,Jennifer,PROPN,VERB
upos,regras,test-s53,1,público,NOUN,PROPN
upos,regras,test-s53,10,emenda,VERB,NOUN
upos,regras,test-s54,1,olímpicas,ADJ,NOUN
upos,regras,test-s54,9,invicta,ADJ,NOUN
upos,regras,test-s54,16,a,ADP,DET
upos,regras,test-s54,20,russas,NOUN,ADJ
upos,regras,test-s54,38,a,ADP,DET
upos,regras,test-s54,41,eliminatória,ADJ,NOUN
upos,regras,test-s56,7,mostraram,VERB,NOUN
upos,regras,test-s56,9,otimistas,ADJ,NOUN
upos,regras,test-s56,13,deste,ADP,NOUN
upos,regras,test-s56,14,domingo,PROPN,NOUN
upos,regras,test-s56,18,Estádio,PROPN,NOUN
upos,regras,test-s56,21,Melão,PROPN,NOUN
upos,regras,test-s57,6,jordaniana,ADJ,NOUN
upos,regras,test-s57,13,norte,NOUN,PROPN
upos,regras,test-s57,15,estavam,VERB,AUX
upos,regras,test-s57,16,fechadas,ADJ,VERB
upos,regras,test-s57,18,pois,CCONJ,SCONJ
upos,regras,test-s57,21,estavam,VERB,AUX
upos,regras,test-s57,22,submersos,ADJ,NOUN
upos,regras,test-s57,25,um,NUM,DET
upos,regras,test-s57,26,metro,NOUN,PROPN
upos,regras,test-s57,29,superaram,VERB,NOUN
upos,regras,test-s57,37,forçando,VERB,NOUN
upos,regras,test-s58,26,São,PROPN,AUX
upos,regras,test-s58,30,onde,ADV,PRON
upos,regras,test-s58,34,só,ADJ,ADV
upos,regras,test-s59,2,municipal,ADJ,PROPN
upos,regras,test-s59,5,Educação,PROPN,NOUN
upos,regras,test-s59,11,que,CCONJ,PRON
upos,regras,test-s59,14,multidisciplinares,ADJ,NOUN
upos,regras,test-s59,17,onde,ADV,PRON
upos,regras,test-s59,37,público,ADJ,PROPN
upos,regras,test-s60,9,analista,NOUN,ADJ
upos,regras,test-s60,41,mecânica,ADJ,NOUN
upos,regras,test-s60,44,química,ADJ,NOUN
upos,regras,test-s60,47,sanitária,ADJ,PROPN
upos,regras,test-s60,49,geografia,NOUN,PROPN
upos,regras,test-s61,2,está,VERB,AUX
upos,regras,test-s61,15,Oficial,PROPN,ADJ
upos,regras,test-s61,20,Seção,PROPN,NOUN
upos,regras,test-s62,7,que,CCONJ,PRON
upos,regras,test-s62,10,público,ADJ,PROPN
upos,regras,test-s62,16,a,ADP,DET
upos,regras,test-s62,26,é,VERB,AUX
upos,regras,test-s62,28,R,NOUN,PROPN
upos,regras,test-s63,0,Embora,CCONJ,SCONJ
upos,regras,test-s63,3,enorme,ADP,ADJ
upos,regras,test-s63,11,criticados,VERB,NOUN
upos,regras,test-s63,34,Escolha,PROPN,NOUN
upos,regras,test-s63,48,Holocausto,PROPN,NOUN
upos,regras,test-s64,0,Nesta,ADP,PROPN
upos,regras,test-s64,4,arrecadadas,VERB,NOUN
upos,regras,test-s65,1,ex,ADJ,ADP
upos,regras,test-s65,14,a,ADP,DET
upos,regras,test-s65,19,que,SCONJ,PRON
upos,regras,test-s65,26,a,ADP,DET
upos,regras,test-s66,8,descuido,VERB,NOUN
upos,regras,test-s66,22,tornam,VERB,NOUN
upos,regras,test-s67,6,coletiva,NOUN,ADJ
upos,regras,test-s67,10,a,ADP,DET
upos,regras,test-s67,12,10h,NUM,NOUN
upos,regras,test-s67,24,bairro,NOUN,PROPN
upos,regras,test-s67,30,central,ADJ,PROPN
upos,regras,test-s68,11,descreveram,VERB,NOUN
upos,regras,test-s68,23,que,SCONJ,PRON
upos,regras,test-s68,32,de,SCONJ,ADP
upos,regras,test-s68,33,que,SCONJ,PRON
upos,regras,test-s68,35,comprometido,ADJ,VERB
upos,regras,test-s68,41,procura,VERB,NOUN
upos,regras,test-s68,50,volta,VERB,NOUN
upos,regras,test-s68,51,a,SCONJ,DET
upos,regras,test-s68,53,como,ADV,ADP
upos,regras,test-s68,57,ser,VERB,AUX
upos,regras,test-s69,4,morto,ADJ,VERB
upos,regras,test-s69,5,a,ADP,DET
upos,regras,test-s69,10,sábado,PROPN,NOUN
upos,regras,test-s70,5,sábado,PROPN,NOUN
upos,regras,test-s70,17,a,ADP,DET
upos,regras,test-s70,21,alguns,PRON,DET
upos,regras,test-s70,28,devido,VERB,ADV
upos,regras,test-s70,29,a,ADP,DET
upos,regras,test-s70,32,a,ADP,DET
upos,regras,test-s70,35,imobiliário,ADJ,NOUN
upos,regras,test-s71,2,Vágner,PROPN,VERB
upos,regras,test-s71,15,Alegre,PROPN,ADJ
upos,regras,test-s73,18,conquistando,VERB,NOUN
upos,regras,test-s73,19,a,ADP,DET
upos,regras,test-s73,21,menos,NOUN,ADV
upos,regras,test-s74,1,Inovação,NOUN,PROPN
upos,regras,test-s74,7,TV,PROPN,NOUN
upos,regras,test-s74,9,traduzidas,VERB,NOUN
upos,regras,test-s74,13,funcionais,ADJ,NOUN
upos,regras,test-s74,17,prática,ADJ,NOUN
upos,regras,test-s74,21,a,ADP,DET
upos,regras,test-s75,8,que,SCONJ,PRON
upos,regras,test-s76,0,Neste,ADP,PROPN
upos,regras,test-s77,17,Fábrica,PROPN,NOUN
upos,regras,test-s77,31,quinta,NOUN,PROPN
upos,regras,test-s77,34,a,ADP,DET
upos,regras,test-s77,38,a,ADP,DET
upos,regras,test-s78,5,chora,VERB,PROPN
upos,regras,test-s78,6,a,ADP,DET
upos,regras,test-s79,3,maio,PROPN,NOUN
upos,regras,test-s79,5,revisados,VERB,NOUN
upos,regras,test-s79,8,que,CCONJ,PRON
upos,regras,test-s79,15,ante,ADP,NOUN
upos,regras,test-s79,16,abril,PROPN,NOUN
upos,regras,test-s79,23,como,CCONJ,ADP
upos,regras,test-s80,3,sofrerá,VERB,NOUN
upos,regras,test-s80,8,porque,CCONJ,SCONJ
upos,regras,test-s82,4,maio,PROPN,NOUN
upos,regras,test-s83,2,poderia,AUX,VERB
upos,regras,test-s83,13,energia,NOUN,PROPN
upos,regras,test-s83,14,neste,ADP,NOUN
upos,regras,test-s84,4,São,PROPN,AUX
upos,regras,test-s84,7,lar,NOUN,VERB
upos,regras,test-s84,12,libanesa,ADJ,NOUN
upos,regras,test-s85,1,que,SCONJ,PRON
upos,regras,test-s85,9,a,SCONJ,DET
upos,regras,test-s86,16,almeja,VERB,NOUN
upos,regras,test-s87,2,a,ADP,DET
upos,regras,test-s87,4,Pai,PROPN,NOUN
upos,regras,test-s87,13,a,SCONJ,DET
upos,regras,test-s87,16,a,ADP,DET
upos,regras,test-s87,21,houvesse,AUX,NOUN
upos,regras,test-s87,22,cogitado,VERB,NOUN
upos,regras,test-s87,23,como,SCONJ,ADP
upos,regras,test-s87,27,a,ADP,DET
upos,regras,test-s88,4,é,VERB,AUX
upos,regras,test-s88,6,naquele,ADP,NOUN
upos,regras,test-s88,9,ser,VERB,AUX
upos,regras,test-s89,8,um,PRON,DET
upos,regras,test-s90,12,Comitê,PROPN,NOUN
upos,regras,test-s90,14,Brasileiro,PROPN,ADJ
upos,regras,test-s90,17,nesta,ADP,NOUN
upos,regras,test-s90,18,quarta,PROPN,ADJ
upos,regras,test-s90,20,feira,PROPN,NOUN
upos,regras,test-s90,24,outubro,PROPN,NOUN
upos,regras,test-s90,29,Brasileira,PROPN,ADJ
upos,regras,test-s90,31,Treinadores,PROPN,NOUN
upos,regras,test-s91,11,impressionado,ADJ,NOUN
upos,regras,test-s91,19,Campo,PROPN,NOUN
upos,regras,test-s91,20,Grande,PROPN,ADJ
upos,regras,test-s92,12,que,CCONJ,PRON
upos,regras,test-s92,18,obesas,ADJ,NOUN
upos,regras,test-s92,19,abandonaram,VERB,NOUN
upos,regras,test-s93,5,Sindicato,PROPN,NOUN
upos,regras,test-s93,8,Metalúrgicos,PROPN,NOUN
upos,regras,test-s93,17,nesta,ADP,NOUN
upos,regras,test-s93,18,terça,PROPN,NOUN
upos,regras,test-s93,20,feira,PROPN,NOUN
upos,regras,test-s93,36,São,PROPN,AUX
upos,regras,test-s93,40,Campo,PROPN,NOUN
upos,regras,test-s93,49,janeiro,PROPN,NOUN
upos,regras,test-s94,1,é,VERB,AUX
upos,regras,test-s94,4,pois,CCONJ,SCONJ
upos,regras,test-s94,10,competitiva,ADJ,NOUN
upos,regras,test-s95,3,resgatam,VERB,NOUN
upos,regras,test-s95,17,que,CCONJ,PRON
upos,regras,test-s95,20,invadam,VERB,NOUN
upos,regras,test-s95,27,semeiam,VERB,NOUN
upos,regras,test-s95,31,criando,VERB,NOUN
upos,regras,test-s95,34,Asterixianas,ADJ,PROPN
upos,regras,test-s96,5,Tribunal,PROPN,NOUN
upos,regras,test-s96,7,Justiça,PROPN,NOUN
upos,regras,test-s96,10,Espírito,PROPN,NOUN
upos,regras,test-s96,15,titular,ADJ,NOUN
upos,regras,test-s96,24,Criminais,PROPN,ADJ
upos,regras,test-s96,26,Vitória,PROPN,NOUN
upos,regras,test-s96,33,expediu,VERB,NOUN
upos,regras,test-s97,0,Naquela,ADP,PROPN
upos,regras,test-s97,15,mata,NOUN,PROPN
upos,regras,test-s97,29,encerrando,VERB,NOUN
upos,regras,test-s98,9,domingo,PROPN,NOUN
upos,regras,test-s98,11,caso,CCONJ,NOUN
upos,regras,test-s98,12,restem,VERB,NOUN
upos,regras,test-s99,8,é,VERB,AUX
upos,regras,test-s99,9,leve,ADJ,VERB
upos,regras,test-s99,11,cura,VERB,NOUN
